path_audio,genre,song_name,path_video
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\B.B. King - Heartbreaker.f140.m4a,blues-jazz,B.B. King - Heartbreaker,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\B.B. King - Heartbreaker.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\BB King on Ralph Gleason's Jazz Casual 1968   Part 2.f140.m4a,blues-jazz,BB King on Ralph Gleason's Jazz Casual 1968   Part 2,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\BB King on Ralph Gleason's Jazz Casual 1968   Part 2.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Blind James Campbell String Band 'John Henry'.f140.m4a,blues-jazz,Blind James Campbell String Band 'John Henry',C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Blind James Campbell String Band 'John Henry'.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Bukka White - Mama Don't Allow.f140.m4a,blues-jazz,Bukka White - Mama Don't Allow,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Bukka White - Mama Don't Allow.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Bukka White - Miss Leola.f140.m4a,blues-jazz,Bukka White - Miss Leola,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Bukka White - Miss Leola.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\BUKKA WHITE.f140.m4a,blues-jazz,BUKKA WHITE,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\BUKKA WHITE.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Dinah Washington - I Don't Hurt.f140.m4a,blues-jazz,Dinah Washington - I Don't Hurt,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Dinah Washington - I Don't Hurt.f134.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Freddie King  - Let the Good Times Roll - Excerpt.f140.m4a,blues-jazz,Freddie King  - Let the Good Times Roll - Excerpt,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Freddie King  - Let the Good Times Roll - Excerpt.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Georgia field hands - Mary Don't You Weep.f140.m4a,blues-jazz,Georgia field hands - Mary Don't You Weep,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Georgia field hands - Mary Don't You Weep.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Hound Dog Taylor - Little Walter - Koko Taylor.f140.m4a,blues-jazz,Hound Dog Taylor - Little Walter - Koko Taylor,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Hound Dog Taylor - Little Walter - Koko Taylor.f396.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\I Am The Blues - Muddy Waters Live 1971 (Monroe).f140.m4a,blues-jazz,I Am The Blues - Muddy Waters Live 1971 (Monroe),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\I Am The Blues - Muddy Waters Live 1971 (Monroe).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\King Curtis & Champion Jack Dupree 1971 'Poor Boy Blues'.f140.m4a,blues-jazz,King Curtis & Champion Jack Dupree 1971 'Poor Boy Blues',C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\King Curtis & Champion Jack Dupree 1971 'Poor Boy Blues'.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Lonnie Johnson - Another Night to Cry.f140.m4a,blues-jazz,Lonnie Johnson - Another Night to Cry,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Lonnie Johnson - Another Night to Cry.f397.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Low Light & Blue Smoke [1956] - Big Bill Broonzy.f140.m4a,blues-jazz,Low Light & Blue Smoke [1956] - Big Bill Broonzy,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Low Light & Blue Smoke [1956] - Big Bill Broonzy.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mance Lipscomb   Can I Do Something.f140.m4a,blues-jazz,Mance Lipscomb   Can I Do Something,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mance Lipscomb   Can I Do Something.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mance Lipscomb pt 1.f140.m4a,blues-jazz,Mance Lipscomb pt 1,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mance Lipscomb pt 1.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mississippi Fred McDowell - John Henry.f140.m4a,blues-jazz,Mississippi Fred McDowell - John Henry,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Mississippi Fred McDowell - John Henry.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - Crawlin King Snake.f140.m4a,blues-jazz,Muddy Waters - Crawlin King Snake,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - Crawlin King Snake.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - I've got my mojo working.f140.m4a,blues-jazz,Muddy Waters - I've got my mojo working,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - I've got my mojo working.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - Long Distance Call.f140.m4a,blues-jazz,Muddy Waters - Long Distance Call,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters - Long Distance Call.f134.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters in Chicago - 1963.f140.m4a,blues-jazz,Muddy Waters in Chicago - 1963,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Muddy Waters in Chicago - 1963.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Rev. Gary Davis playing 'Candyman'.f140.m4a,blues-jazz,Rev. Gary Davis playing 'Candyman',C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Rev. Gary Davis playing 'Candyman'.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Sam Chatmon - Hollandale Blues (1978).f140.m4a,blues-jazz,Sam Chatmon - Hollandale Blues (1978),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Sam Chatmon - Hollandale Blues (1978).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Sam Chatmon - How Long (1978).f140.m4a,blues-jazz,Sam Chatmon - How Long (1978),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Sam Chatmon - How Long (1978).f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Son House - Preaching the Blues 1967.f140.m4a,blues-jazz,Son House - Preaching the Blues 1967,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\Son House - Preaching the Blues 1967.f135.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\YouTube        - Junior Wells - The Hoodoo Man (1966).mp4.f140.m4a,blues-jazz,YouTube        - Junior Wells - The Hoodoo Man (1966).mp4,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\blues-jazz\YouTube        - Junior Wells - The Hoodoo Man (1966).mp4.f133.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\'Country Love Song' Justin Champagne Feat. K. Michelle.f140.m4a,country,'Country Love Song' Justin Champagne Feat. K. Michelle,C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\'Country Love Song' Justin Champagne Feat. K. Michelle.f401.mp4
C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Aaron Lewis - 'Country Boy' (Official Video).f140.m4a,country,Aaron Lewis - 'Country Boy' (Official Video),C:\\Users\\tatbo\\PycharmProjects\\Multimodal\\data\\country\Aaron Lewis - 'Country Boy' (Official Video).f136.mp4
