song_name,lyrics
Blind James Campbell String Band 'John Henry',[Applause]  [Applause] 
Bukka White - Miss Leola, would you please would you please ma'am tell miss me read this for me tell this mirror tell Miss Mary when she Barnaby Stella please pray for me  look at me while I was shaking like a leaf on a tree  I just wanna know I just wanna know this man what you got waiting No that's where one of the one who got weight and homie cause them a time and look at me Miss Mary feel like Ronnie now okay  yeah let me very good now Oh miss Mary she promised a better me don't you know me  miss Miami miss Maya will you please marry me till the next time she found out on the knees would you clean outs and ever wait for me   laughter no this baby she receive me  I don't  if I get this 
BUKKA WHITE, yes I'm going down I'm going down  Oh I'm going on  see that's what you need sheesh I'll get you my bottom dollar you are having trouble she's I'd say what's gonna happen everything shovel ever smelled up in their home  she sat on a blackjack you can't home with you here you gonna fold up  forgetful trouble Stein yo-yo  she's everything  yes down the big round no bigger on the line  now look like a bird the white man and Papa marks on a hill here none man stand on the floor    when I come my dad said all   please ma'am please ma'am do that debug it for me  you know 1930 seat did it but many people say mercy  I don't tell my favorite jitterbug in the knees I said baby how much domain have Mises me  there girl you kidding me  this is a big man big man hater get tossed  yeah please just one more time Sun is going down   Oh oh good  Peter stand  [Applause]   Oh strain  Hey  [Applause]  I know Lister  run  never got a mama  Oh   she's not wanna shake  Hey  maybe nobody nowhere she found all believe you see she mustn't have been a big you gonna get up  she said please oh please please  geez I can't do nothing  she said Jazmin hold your hand she said it ain't going on  sheesh and my mom and my sister and I started  started  she said longer     listen  throwing me down   go go  [Applause] in July   [Applause]  didn't also  are you here hey cute dog the market goes on back up money now  yes can amazin heal they sold me live on the tail it's kind of a turbo get some heal this old me live on the chair this kind of made she'll tell you why I'm as old me  [Applause] some town standing down on that a man now i'ma start down a little town home but here we go old digger was gonna grade to the judge this is song while you tries to go home that's a good start dog owners here we go trying to look in missoula listo cranky will repeat in bed just go up that knocked almond troll donezo he said well you know French lady might come through and knock you out in the middle of the road Thomas spoke to me though she come to the dog watching an Axman  like easy - the Sun what it rebounded you my lovely my said we didn't Jim I said weekend and my needle  - I said no - Bernardo exposing me itís totally but in the woods she would put him down  he's a bookie you know you gotta better every time with your weapon god I'm using my mojo oh hang on you  and I walked in her bedroom my mother's bedroom I lie down her house to be what is wrong with you my like admitted only money call the doctor call the doctor come to see Bob they dr. roll up in front of my mother go hero loved Alice will be blood charlie donkeys compiled his power what if he were gay and his hand  when he got to walk with my father bedroom he said that fever get out of my town  the bathroom doctor hi-yah dr. Sen must be gone all right he don't have no fever and his bone   see mama  they're good now what do you down Stan  when I'm up there benefit  now your bear gets it now oh man  goodbye silver  my god  [Applause]   [Applause]  my baby  Amidala  Oh  well it does ask me what I've been dying for these pain I say  she put me on other leg display doctor saying they were seeing a bid and leg to spring leg hold that before I said doctor this bailiff a special foot pain this nice bag of hair   [Applause]  whoa docking you don't sub knives I go home and I jump on that    [Laughter]   I think I'm have to walk away  but I have to have a mole my job  I just be  [Applause]   why that's all I need  wanna see me roll what Brent must be telling  your mind is a burner in the morning what a time because we get our old man  he started blowing his home right down the road    look like hang on the lights to the lane   when I leave this morning hey pop all your dough  you can bet your bottom when I get around the road I wanna sit down but I can read the role dollar set that down oh no I'm on a set that down right you better  couple back up on my clothes I beat Oh tomorrow tomorrow and only the dropping planet I want me back battle Freight I'd blow have my clothes on a mound when a freight train roll up my clothes and you'll get better  eivol never do wrong no mole she can't take me back daddy won't ever do wrong when I hold a play for you a new hat until you look back and now  stand around all the highway I miss man and I woke you  the letter train that I don't know no Chewbacca there's a little train that mountain range don't you wanna go    Johnny's combat Johnny's comp that same   my father standing at the power  don't you wanna go takes two when the video face don't you wanna go take you Wayne to bare your face don't you  face don't you  [Applause]  got it on that train don't you ah discount that's Oh   [Applause]  oh wait told me give me mouth take your time I play  [Applause]   very good  boy hey - laughs but it went bad more than hell don't say they need to live for their they're from  we're good   Hey   [Applause]  wow-whee you started here [Applause]  don't you know a little pair good 
Georgia field hands - Mary Don't You Weep, all right    me  oh   oh  oh  all right arthur  is  [Applause]  from  hey  oh  oh oh  oh  oh  god made mane and he made him out of clay put him on earth but not to stay fair oh lonely  me  oh [Applause]  [Applause]  [Applause] oh  is  [Applause]  all right did you notice that battle how she was drinking water yes man that battle drank more water than a camel i've never seen a battle like that before never seen just like that before and all it did
Hound Dog Taylor - Little Walter - Koko Taylor, uh  no cheating mommy  oh yes i  baby  this    oh  baby mommy  baby talking about my baby [Applause]    do you feel all right coco feel fine taylor  bed wonder why but my man won't treat me right  i wonder why  why my man won't treat me right i do everything to please  what he said  he said  we don't know how the rent is  in between gambling man  he chases women in between when he beats me he mistreats me the meanest man i ever seen kids in bed  i lay awake every now and then i wonder will my man be home tonight  i was coco taylor doing a thing called will my man be home tonight letting out with the chicago sound one more time we're gonna go with the chicago sound it's called wang dang doodle  talking fanny we're gonna put your ball down to that union hall we're gonna romp and trump till midnight we're gonna bust and fight till daylight we're gonna beat your wing dang doodle all night long all night long all night long   red  all night long all night long all night long  all night long all night long  hello just a  we gonna  all night long all night long all night long all night long all night long we're gonna pinch your wings on  we got sawdust on the floor until pagan talent died  all night long all night long all night long all night long        100 that was booker white giving you his interpretation of the blues from the south right now we're gonna move north all the way to chicago illinois i bring you a gentleman by the name of little walter  bye  wow  do   so  [Laughter]  foreign   do  come on  this doesn't mean a world  try to live in by yourself  you can't get the one you're loving you have to use somebody i've got the proof i'm gonna pack my trains yeah i've got the food  i'm gonna pack my things i guess you don't love me baby so  haha  sometime i wonder why can your love be so cool  sometime i wonder why can your love be so cold  i guess you don't love me baby yeah that was little walter doing a thing called mean old world right now we're gonna feature another gentleman in the group he goes by the name of hound dog taylor he's gonna do a thing called shake your money maker  shake your mind   money makers   all right makeup  all right hound dog taylor doing a thing called shake your money maker baby right now we're going to bring back a young lady that we featured earlier in the show she goes by the name of miss coco taylor what kind of man is this  i like it i like it i like it this way i like it i like it i like it this way  i like it this way  good things come to those that wait  dream come true  if i'm wrong it's my mistake yeah i like it this way  is this  it makes no difference if my baby is down if i'm wrong it's my mistake i like it this way i like it i like it i like it this way i like it i like it i like it this way yeah i like it i like it like it this way  hello  bye 
Lonnie Johnson - Another Night to Cry, yes another night to cry because I need your soul yes another day and night to cry because I miss you so yes you never know how much you made me suffer baby baby you'll never know if I told you how much I love you my tears would fall like drops of rain if I told you how much I love you my tears would fall like drops of rain only for you to walk back in my heart and hide me all over again now I hate you satisfied you've made me cry you made me walk my floor  and you're satisfied you've made me cry and made me walk my floor yes I was your fool once upon a time but I ain't your food no more someday you're gonna cry for me just like I cried for you  someday you're gonna cry for me baby just like I cried for you then you know what it means into behind my love cause it'll all come back to you  maybe it may be tomorrow and it may be a month or so  yes it may be tomorrow maybe on Monday but so many times I'll cross your mind with all the good things I used to do insane   thank you well I've got news for you baby  read a sign up on the door where I've got news for you baby we just sign up on the door  [Applause] I don't need your love anymore hi hi we can't every day I'm at home maybe every night yes I wake on every day I'm at home every night and you are with your best friend's husband hey baby you know that ain't right I've been giving all my money and it's been an all my time with you I've been giving all my money it's been an all my time with you and you got your best friend's husband has nothing too low for you to do I want you to pack up everything you got baby don't bother to close the door back up everything you got don't bother to close the door cause I'm so tired of your lying and cheating I just can't use your love anymore  laughs  yes I've got a whole lot of news for you as I signed up on the door  signs up on the door you ain't gonna have no good luck baby no matter where you go   thank you  thank you  foreign  thank you foreign  [Laughter]  thank you foreign   when you lay down across my bed yes and I thought you loved me baby when you never met a what you said I get the strangest feeling every time you walk out the door  strangest feeling every time you walk out the door  yes babe I Don't Love You No More  first you've been lying so long baby baby that's all you know yes you've been lying so much baby seem like that's all you know  and when I met you you'll be lying when you go if you don't please don't hate me put me down and let me go my way  cause if I live long enough baby I'll find someone to love me someday I had my faith in you baby but you left in my face I had faith in you  and you laughed in my face yes you're laughing call me a clown someone else had my place but you can go baby do anything you want to do  maybe you can go anywhere you please please you can do anything that you wanna do I'll be around baby when it all doubles back on you  thank you I've Got the Blues for San Francisco it's where  where I'm with San Francisco is where I long to be  and that's why I long to be yeah  [Applause] the house not rocking when a clock is striking line there's so many fine chicks walking the door make a single man lose his mind the name is Sugar Hill Club it's the home of the natural blue Club the home of the Natural Blues you get nothing but big leg women in a fine booze oh dragon is heavy dude   Jake will sit Daddy buy me a drink she is so fine you can't refuse yes she said Daddy buy me a drink she's so fine you can't refuse cause it's the home of the Blues  maybe there's some changes man I've got to get rid of you yes there's some change in man I've got to get rid of you cause I double life you leading is going to break my heart into baby  baby you can't have me and Chase every man in town maybe you can't have me and Chase every man in town you will either get me in trouble or you will end up in six feet of ground  thank you maybe I hate to let you go but there's nothing that I can do yes I hate to let you go baby there's nothing I can do you have to find yourself another man to let you do all the things you want to do  or as I want a woman to love I can tell a whole run World in mind  I want a woman I can love until a whole round World She's mine but when with you baby you're just with me on borrowed time  foreign  yes my baby is so fine and Mela bowling it for my hips on down yes my baby is so fine and mellow whole legged from my hips on down and the way she's losing hips when she walks she'll make a rabbit around  sometimes she make me so mad man I wanna walk out the door yes sometimes she makes me so mad man I wanna walk out the door and when I think about a heart so I'm fine hips around oh diet God just can't go see something  yes one evening we went out and a park just to take a walk yes one evening we went out and a park just to take a walk yes and a man sitting down in spy them hips yeah she made that deaf man talk she's something she's got big legs are dressed up over knees yeah she's got those big bull eggs you as a dress just above her knees a police was so busy watching my baby's hips he drove the car right into a tree foreign  yes come on and make love to me baby if it takes you all night long  I wanna make up for the time in the months and the days that I've been gone  you still love me when the sun is shining and when the lights are low  yes you used to love me when the sun is shining and when the lights are low bye yes you had a Satan will stop him and made me cry for more   yes the way you love me baby it upsets my very Soul  yes the Way You Kiss Me Baby it upsets my very soul more and when I look at that fine Brown body of yours oh Lord it knocks me cold I was so nuts about you baby I was almost insane yes I was so nuts about you I was always in our trance can you remember the day baby I left home for work and I forgot my pants  oh baby I'm gonna hold lots of squeezing and a whole lot of pleasing for you  maybe I've got a whole lots of squeezing and a whole lot of pleasing and the way I'm gonna love you baby I know you're gonna squeeze me too you're so fine so mellow you really Built For Speed baby you're so fine so mellow and you're really Built For Speed and when I look at that fine Brown body you've got everything a good man needs  you just about my size yeah  yeah and you're just about my signs and every time come down when I when I came to your big brown eyes  baby you got what it takes in your home a whole lot of woman to see yes baby you got what it takes and your whole lot of woman to see and when I look at this big bull legs baby yes you got everything belonged to me   man Barbara's the kind of woman a man don't find every day  yes Barbara's the kind of woman a man don't find every day She's Got a Way Stealing In Your Heart  she's so good looking when I need her she's always round  yeah she is so good looking when I need her she's always round and when she says daddy did you call me she meant my love gone falling down she's old so cold like hell  yes so fine and mellow with cold like hell and every part spells alone oh jacking is really there man you ain't seen nothing till you dig bobber from my head on down  my head on down say she can bring her dead man back to life and make a hound dog   yes Barbara's so fine and mellow I'm afraid to leave a home yes my baby's so fine and mellow I'm afraid to home cause I know I would drop dead if I come home and find my baby gone  Since You've Been Gone Baby life don't seem the same since you've been gone baby life don't seem the same  if Christ all the love we built up together  baby that's a rotten shame I have never caused you any heartaches why do you do the things you do  I've never called you any harmonics baby why do you do the things you do you only hurt me this way after you found out I was wrapped up in love with you  I give you my heart and soul and everything that's in my mind  yes I give you my heart and soul and everything that was really fun  and when I thought you was in love with me baby on I was only wasting time man I told you you're pretty and it's hard gone to your head  Yes Man been telling you so pretty baby it's all gone to your head  yes but it's a slow trip to the graveyard   all right  yes so long kitten I've sold you out my mind  yes so long kitten I sold you out my mind cause you don't meet a man no good and it's all in just a waste of time
Mance Lipscomb   Can I Do Something,standby  this is sugar bean it's all over now  okay what's the matter with you you don't treat me like she used to do it she would be my baby  girls is  is  so [Applause] the way [Applause]  wait another minute  shot along [Applause] shout out to the side second time i could not tell when but every time i shot  ground she went out thought she'd have some fun she got shot down with a cold before elsa tell my sister  like to rise says  [Applause] all i want  i'll  i don't know  [Applause] all right i'll show you about that song it's lots of time you can offer people they won't accept but one so he offered everything till he got down to those seat and food and that's what she wanted she said she thought she didn't want nothing in the world ahead but she'd take a seat and food songs are pretty well in my time coming up made about people's life or something that you can get some kind of a background there's one put out in 42 come out move moving loose and call baby please don't go as the girl is leaving her boyfriend and he's begging her please don't go  she made me walk  don't call my name don't you call my name don't you call my name  down home [Applause] now that's the way people brought up songs and those they just sang something love song something that they was worried about something that happened to them this is a little some of the couple are out in the dark shining on harvest moon that's got a little dark and they want the moon to shine i think somebody here might remember right that song shine on hogs moon  love hold on  january june of july slow  is  [Applause]  as long as a lady was fussing that old man but it wasn't a real hug i'm just a boyfriend you didn't come see a regular nothing she told him say you got to see your mama every night don't you can't see your mommy at all so that's the way this song starts  right  on monday night  every night every  family every night you can't see mama at home every night [Applause]  [Applause] there's more often run off on his people they had his phone and they made him walk he said i don't have my phone if i don't don't get well no more when they got sick and they wanted to report back home to his people which i only had a mother said right and tell my mother what to say for me because there's no need of me saying i'll be home she can just pray for me for my sin so made up a few remarks about it and this song come out on on the way he wanted to come out and win after he was a sick boy the title is gonna have my phone if it don't get well no more [Applause]  [Applause]  a man me  do  doctor  then do the things i should  home [Applause]  don't worry this is love in my breath mama don't you worry corpus is all in my prayer just say your sign did go out this world somewhere [Applause] ah that song is made up by his confession lots of other people added to it and might know all of them voices as to where he talked to his people he was a stranger when he got sick  this is the number called nighttime's the right time to be with the one you little do isn't tummy what i'm going to say to you i want you to know baby nine  night long  until she had gone grab my hat this morning she's following is  think i miss  is  [Applause] so [Applause]  i believe i have a chance one more number one i played a knife pieces of the old gambler song jack-o-dime is coming up  [Applause] there's a gambler's song he's saying that when he's broke to lose all his money [Applause]  but baby jake and strength and the drag never win the thing  me  well i played him against ace he was a salvation in my face  and i played the jack against a train it was all about a dagger down for the heart of the plane i played him guns are full  me  okay  [Applause]  you
Mance Lipscomb pt 1,it was the first in my  life i'm tired  it's all over now all i want my baby to do make five dollars and give me two sugar beers it's all over now downtown bought me rope with my big tissue buzzer low sugar baby it's all going down  what's the matter with you you don't treat me like you used to do it's all over now is  do  i'm tired of you ain't your honey but the way you do sugar baby it's all over now  i'm gonna  yes i don't hate my phone if i don't get well normal my elders are failing me  lord i'm going down slow  forgiveness for my sin mama don't say no doctor he can't do no good  it's all my fault now mama i didn't do those things i should  let's dream sound look for my clothes home well an extreme sounds mama look for my clothes home you don't see my body oh you can't do it  mama please don't this worry all in my prep mama please don't worry this is all in my prayers  you know your sun is dead gonna just wind somewhere  even hard  sometimes sometimes sometimes  so  my mother  is  my mother  kept me  a song   just like asleep can't little women baby really think oh lately my love come falling down  shake shake mama    started slipping call won't even sing losing compression for my pistol ring  all time used to be  [Applause]  oh i like my bee but i don't like a teddy bear whoa like my woman but i don't like a teddy bear  i'm going by a box back  i've been drinking red whiskey all night long got to heat it now yes i'll be drinking bed whiskey all night long hold on mama got to hit now  tell me what you're gonna do with your brand new danny bottles  come home  oh  oh  hold on  [Applause]  all i  tell me what you gonna do with your brand new mama  well i played him in the spring and he never was a thing like a diamond was a hard cord to play well i played him in the phone and he never gonna talk like a diamond was a hard card to play i fell down on my knees try to play jackal's face jack a dime was a hardcore  while i played him against the ace he was a starvation in my face jack a diamond was a heart to play well i played him against the deuce from the jack when it was no use jacka down was a hardcore  do well i played him against the tree it was on a fire lane like a diamond was a hardcore deflate and i played the jack just a fool touching jack right in the door jack of diamonds was a hardcore play i played him get to fight that lady like to make me cry jack-o'-dime was a hardcore and i played him against the sixth it left me no terrible fix jack of diamonds  so  and i told you last week just as plain as a man could speak i'm gonna send you to your papa payday and i played the jack against the king and it made the deal of sang jaka diamond was a hard card to play i played him against the queen and he tightened my money green please  when the first time i shout out i shot a suicide second time i could not tell well  that was two white horses   didn't shoot  you can love someone don't love you  don't do like me that  with is with everyone that you see baby please don't go baby please don't go please don't pull back when you are leaning you know i love you got me weight on him got me weight on him you got me weight on here about a roll and fall treat me like some dog baby please don't go  i believe my maiden gone i believe my man has gone to the carnival the goddess goes on turn your lamp down low turn your lamp down low turn your lamp down low beg you all night long baby please don't go don't call my name don't you call my name don't you call her name you got me wearing on here twine ball and shane   well  him  him   talking  right  drinking him  i don't care what your mama don't like don't pick this   in  i was sick and can hardly create  tell me baby tell me now where have you been so long where you've been so long where you've been fooled all i got is done gone all i got is gone oh i got it gone something keeper telling i won't be alone standing on a catered street one day one time was all that i had one time with all i had didn't i but the one thing time before i would spend it for my own use said it for the lady friend of mine  down to the jailhouse door down to the dale house down to the jailhouse door i stayed on hood  gonna say now i'm afraid at the moment she's on something she had never done before she was in the bed but another man made friends fighting wrong on the floor he got in bed he got a day with his gun and his name freddie woman saw him coming   with  he was   i'll have them 
Mississippi Fred McDowell - John Henry,Harry let's do the song about the little boy that grew up to be a great big man you know  when John Henry was a little baby no bigger than the palm of your hands his mommy looked down at Little Johnny and said am I gonna be a steel driving man yes Johnny gonna be a steel driving  John Henry was a steel driving man drove steel all over the land before I let the steam Hammer get me down I'm gonna die with my hammer in my hand die with my hammer in my hand  John Henry went to the tunnel to drive steam Hammer by his side he beat the steam Hammer to the top of the hill he laid down his hammer and he cried Lord laid down his hammer and he cried John Henry had a loving little wife her name was pollyanne Johnny got sick and he had to go to bed Polly drove steel like a man yes how they drove steel like a man  they buried John Henry in the graveyard they laid him down in the sand every time a freight train come puffing by they'd say Yonder lies a steel driving man Yonder lies us  thank you [Applause]
Muddy Waters - Crawlin King Snake, here we go  [Applause]  [Applause]  [Applause]    1000  foreign ah me oh so you i wasn't there  [Applause]  ah  now you
